id,title,date,source,url,text,search_query,analysis_text,semantic_relevance,in_scope_score,out_scope_score,scope_margin,best_in_scope_category,best_out_scope_category,scope_keep,topic_id
679,"5 Decades of Nike Innovation in Women's Apparel — NIKE, Inc. - About Nike",2024-03-21 07:00:00,About Nike,https://news.google.com/rss/articles/CBMihgFBVV95cUxPVnVldEk1bVgzTldxeUtTTkt4UzRqaGdyY3A1Z29WNnNMNkZfYUlJd3FrZkppRkltSjNXWF8xc1lUZjZQNTZoN0NMbjFkMzFqSFBvUXk2bW9lN3R0cVJtZGFBaXlxYjNtTThSb1FrYXN5LWlVS0FIRFhQZFRaMmhpOE9QY0pTUQ?oc=5,"5 Decades of Nike Innovation in Women's Apparel — NIKE, Inc. About Nike",UK athletic apparel innovation,"5 Decades of Nike Innovation in Women's Apparel — NIKE, Inc. - About Nike. 5 Decades of Nike Innovation in Women's Apparel — NIKE, Inc. About Nike",0.45146775,0.61189246,0.40116382,0.21072865,"Technology and innovation affecting sportswear products,     athletic apparel, footwear and activewear.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,3
429,How New Sports Trends and Consumer Habits Are Shaping the UK's Athletic Footwear Market - Breaking The Lines,2025-06-28 07:00:00,Breaking The Lines,https://news.google.com/rss/articles/CBMivAFBVV95cUxPSXlDWW45NFpZc19DVEVhTFpnVGtBdjY3Z2owM3VwTkM1cnliWDBhT0NXaDRncHBvSGUya0MyNXU4Um41ZVpXT05xZWR1SDVsZkJ0RUFyVzlSZXNIdlFWd05iRmVYT1lRTElGWm5ua1RrSERjdTJ5Mk9Cck8zQmdmM1dZdmlYakxUSEZ3YXpHZWhta3RsUTdsR2NXdDlLYVZGaF9mNk54X2Zxb05MWXdpR3k4U04tVXFHT2hJVw?oc=5,How New Sports Trends and Consumer Habits Are Shaping the UK's Athletic Footwear Market Breaking The Lines,UK sportswear consumer trends,How New Sports Trends and Consumer Habits Are Shaping the UK's Athletic Footwear Market - Breaking The Lines. How New Sports Trends and Consumer Habits Are Shaping the UK's Athletic Footwear Market Breaking The Lines,0.6358608,0.7625191,0.55471706,0.20780206,"Consumer behaviour and changing consumer preferences     relating to sportswear, activewear, athletic footwear     and sports fashion.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,1
661,The Coca-Cola Company is always innovating and exploring the future of best-in-class brands and experiences - coca-colacompany.com,2024-05-09 07:00:00,coca-colacompany.com,https://news.google.com/rss/articles/CBMi6AFBVV95cUxNbmdjaGZtMkNGakZtNDFoa0RjU3MxRVUyeWxjWTMzcjhRZ25PVGpob21zZFpPdWNxT25SeXNzbmxmNTdYRFhGS09sZG92LThtd1hhNjlzeThuUDZvbXBxRDVJdF9qbUZmdFZoa19MeXBCaE03clhVLTQ2UXpuYlRzMVpyTTJGRmd0MVVyeHI0TnNVYnRfT2RraDJ1ZGc3VjV6Qi00aHZKZzFFNVEzemIyaThYVDNTVTlmeDJJbkxFdFpvSm5TdmxCTkxCa3M1OE9kcTBscFktSmdQa0R3cXpCMC1MSkMzVWRw?oc=5,The Coca-Cola Company is always innovating and exploring the future of best-in-class brands and experiences coca-colacompany.com,UK sportswear future consumers,The Coca-Cola Company is always innovating and exploring the future of best-in-class brands and experiences - coca-colacompany.com. The Coca-Cola Company is always innovating and exploring the future of best-in-class brands and experiences coca-colacompany.com,0.36888722,0.4391525,0.23142718,0.20772533,"Sustainability, materials, circularity and product     innovation within sportswear, activewear and footwear.","Sports tourism, sporting events, travel,     event ticketing and sports hospitality.",True,3
453,New premium activewear brand Seissense launches in the UK - FashionUnited,2025-06-05 07:00:00,FashionUnited,https://news.google.com/rss/articles/CBMirwFBVV95cUxQNy1FTTdPU01uTjNLdTNmcWJvck1lUDFycFlMXzR0Q1V6ZEpJSWZkNXVuQTJ2NDdrbWFRVWFRVlhvSTNBazByZGE3ZjVjcVFkdFJwRlRpUkowMzNWRWt5UWVLOFlMYzMzNXRzejJHd2d0V0lhangybVgwWS1jVVFrc180a1ZXTFVHU3RZZU1TOXE1S095b3NHNldjbXpfY1ZHMHlhQ00tVUZmS2g5U213?oc=5,New premium activewear brand Seissense launches in the UK FashionUnited,UK activewear innovation,New premium activewear brand Seissense launches in the UK - FashionUnited. New premium activewear brand Seissense launches in the UK FashionUnited,0.44289124,0.54901165,0.34545165,0.20356,"Technology and innovation affecting sportswear products,     athletic apparel, footwear and activewear.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,5
523,Sportswear brands face new crossroads as growth slows and consumer habits change - fashionunited.uk,2025-03-04 08:00:00,fashionunited.uk,https://news.google.com/rss/articles/CBMizgFBVV95cUxPVkVaUG5kdlo0ZW5adWJxb01ZMnhfUWFSUW9XYzI4ejJKcGE2Z3J2ZlkwNlYxWUZ2Ql9TTU1wT3ZBSVoxQXNPSk9FeXU5Q3VMd0hZcmE3NVU5WlUxb09BaDhSektYRlBXdjRWSDczZ2R3SEJzc3pKLUdTa0IxV2doNzlXRDNia05JX0xIWkhlOUtKajJteWJ1T2VKdEt0djJLZUtDZ1ZBbnhMbXV6M1JGMEJWOTd3emZCSjFPRE4xVnVldEhldUNycWJuVno5QQ?oc=5,Sportswear brands face new crossroads as growth slows and consumer habits change fashionunited.uk,UK sportswear changing consumer habits,Sportswear brands face new crossroads as growth slows and consumer habits change - fashionunited.uk. Sportswear brands face new crossroads as growth slows and consumer habits change fashionunited.uk,0.58719766,0.7125146,0.5102637,0.2022509,"Consumer behaviour and changing consumer preferences     relating to sportswear, activewear, athletic footwear     and sports fashion.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,1
78,Digital Consumer Trends 2026 - Deloitte,2026-06-17 07:00:00,Deloitte,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQYmd6VjdIem9UbDgzWXJPdWp5WklQUE5YUEpGVkZaQ0FkZUdyNVNHNXNPa1ZaZzNvQ0ZnR1NfdVVOMklfV1Q0NWwwSlowckg1aDJNLTVXQmsxOU5QZV96TmlOU1JuWDhPbVg3cE5VUTFTSjRFVE5OM293RG5SdExmVktfSUl1ai1fRnFN?oc=5,Digital Consumer Trends 2026 Deloitte,UK sportswear consumer trends,Digital Consumer Trends 2026 - Deloitte. Digital Consumer Trends 2026 Deloitte,0.39028364,0.47214642,0.2761051,0.19604132,"Digital technology affecting sportswear retail,     ecommerce, shopping, personalisation and consumer     experiences.","Sports betting, gambling, betting applications,     bookmakers and sports wagering.",True,2
676,Top Trends in Global Apparel and Footwear in 2024 and Beyond - Euromonitor,2024-04-05 07:00:00,Euromonitor,https://news.google.com/rss/articles/CBMinAFBVV95cUxPUkNmc3ZtSnYxcFlJU1pOYmlXSUF1VENsRTJkNTBFNEhtcmkyeG1EVS00TjhFeGhMellRZ0RUdXZpNkIzZFVmN2Uzb3lOd1hfZWZ3WXczekgtc1hTVXhiNWVqaFRMTmg4UEU2ck1zX1NLVzdoR2tXaEpGOVc5UEw2R2tjRE9WRjZtejJfckhZZ0hhNEVMcDN1TkdEZUE?oc=5,Top Trends in Global Apparel and Footwear in 2024 and Beyond Euromonitor,UK sportswear consumer trends,Top Trends in Global Apparel and Footwear in 2024 and Beyond - Euromonitor. Top Trends in Global Apparel and Footwear in 2024 and Beyond Euromonitor,0.394098,0.59251547,0.39826897,0.1942465,"Sustainability, materials, circularity and product     innovation within sportswear, activewear and footwear.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,-1
235,Fashion Retail Outlook 2026 | Strategy& - PwC,2026-01-19 08:00:00,PwC,https://news.google.com/rss/articles/CBMimAFBVV95cUxPMVR5NVQ4MjJ4QjJISjVTMUJ2VUFlU0RNakZyc1FIbGUyckZHWFljVXAxY0pPSDU4QTYxWk5lMm0yYmU5UnU4Y1VwRmc1b1lJN3lNQi1tRmwtZk9wRUVkWkVLeEpHLUJEOGpQcG9sdkJEQ3pzNHBPeFZEdGxUc3E1OFVzMHJtSDdJTVpQZVBqd3Z4ZDNLeE9zUg?oc=5,Fashion Retail Outlook 2026 | Strategy& PwC,UK sportswear digital retail,Fashion Retail Outlook 2026 | Strategy& - PwC. Fashion Retail Outlook 2026 | Strategy& PwC,0.43161887,0.556404,0.36300185,0.19340214,"Changes in sportswear retail, shopping behaviour,     consumer demand and brand engagement.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,4
524,"U.S Activewear Market Size, Share | CAGR of 4.9%. - Market.us",2025-03-03 03:10:36,Market.us,https://news.google.com/rss/articles/CBMiW0FVX3lxTE9pWDNDU1g4NW9yWlNCS19hQUV5ZEVhcmRmcGhmOE05STZXUDRjOHgyLWZldG90TGhrcWVlS1lBVmRiQkpuMjM4OFZackJwdG9YV3ItM082d0RSZVk?oc=5,"U.S Activewear Market Size, Share | CAGR of 4.9%. Market.us",UK activewear consumer trends,"U.S Activewear Market Size, Share | CAGR of 4.9%. - Market.us. U.S Activewear Market Size, Share | CAGR of 4.9%. Market.us",0.35717034,0.4862102,0.2940268,0.1921834,"Sportswear, activewear, athletic apparel, athletic footwear,     sneakers and performance clothing products.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,0
259,16 Best Activewear Brands To Get You Into Gear In 2026 - British Vogue,2026-01-05 08:00:00,British Vogue,https://news.google.com/rss/articles/CBMiZkFVX3lxTE5OZTUxbUI1dnlJNjQ2ZlNMNjVUaWZWR0RIQ01fNDlHeUtnRC1FSGZYQlpZZ0VXQ2ZQaGJDcHFybDVpN0F4Sjc3ZEFDRi1obEJrTDlodVliMGVFSXdFZDRDV1B1S05HZw?oc=5,16 Best Activewear Brands To Get You Into Gear In 2026 British Vogue,UK activewear consumer trends,16 Best Activewear Brands To Get You Into Gear In 2026 - British Vogue. 16 Best Activewear Brands To Get You Into Gear In 2026 British Vogue,0.43538293,0.53588367,0.34720826,0.1886754,"Technology and innovation affecting sportswear products,     athletic apparel, footwear and activewear.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,5
510,Illuminating Wellness: Vitawell reveals new brand identity and strategic direction - Retail Times,2025-03-18 07:00:00,Retail Times,https://news.google.com/rss/articles/CBMirAFBVV95cUxQaURORFM4YjR2NFh4WXVhUXBCTVhBeGJnaEFqN3hfeGlmSDZvb2NCTFkxckpVeGlMczlaU3JxNnFnbU1IUVdYWDZDRjRxU01xbXpCNjc1amdQVkhFTmZDQnNLSjFtUkIzeXpGLU1FS3dNZy1vMTcwWndmREQwTWJXS010SDh0bG40RTJCM3hlMVhLUVNWWGNKUEQ4STFsZTh4Wm9iZmNPRml4M3d3?oc=5,Illuminating Wellness: Vitawell reveals new brand identity and strategic direction Retail Times,UK sportswear wellness consumers,Illuminating Wellness: Vitawell reveals new brand identity and strategic direction - Retail Times. Illuminating Wellness: Vitawell reveals new brand identity and strategic direction Retail Times,0.3990965,0.46563196,0.28406096,0.181571,"Changes in sportswear retail, shopping behaviour,     consumer demand and brand engagement.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,6
506,Research shows that Brits prefer to shop in-store vs online - Home of Direct Commerce,2025-03-19 07:00:00,Home of Direct Commerce,https://news.google.com/rss/articles/CBMinwFBVV95cUxQNnlTeEhqVDJ5SnZmaVF1TVAwMGdDRXJKRUlkY0h5XzNzUFBGcEZPMGJTVFVWeW5pNGdVNDdzYXdoZVlxcmVfaVRLMXd5aGdKRVQtZlZSSUdLQlFaNm5YeGVTWDhxVnhteElmaDFBdDQ1dllUaU5sX2U2bDd6UFJoYXM1Smo5THcxRjg0c2tNNDNwYlZKWEhJUTRHQlZDQVU?oc=5,Research shows that Brits prefer to shop in-store vs online Home of Direct Commerce,UK sportswear consumer behaviour,Research shows that Brits prefer to shop in-store vs online - Home of Direct Commerce. Research shows that Brits prefer to shop in-store vs online Home of Direct Commerce,0.3870201,0.3686923,0.18839388,0.18029843,"Changes in sportswear retail, shopping behaviour,     consumer demand and brand engagement.","Sports betting, gambling, betting applications,     bookmakers and sports wagering.",True,2
567,Generation Alpha: How Fashion Players Can Target Tomorrow’s Consumers - Euromonitor,2025-01-13 08:00:00,Euromonitor,https://news.google.com/rss/articles/CBMipgFBVV95cUxPUUtyMGFIUlhFbDJMY2otSktNcFRZMHpPdlpTXzhLVTZMV2RJM0ZIM09vV3hoaTJ0QS1OUVRHTjVaeDFiRG5sR0dEZGdtVmdUakZCODdDR1FFcnRnbG5VV0JkVFB1OEE5T3J0bERXa0NUbEtyb0tBUXVEYXRQMzNCSlBER3hLaHJoMXJ0aGEtVXZXYndGeHVoMXRXTzlJTEZhY0pzRXhB?oc=5,Generation Alpha: How Fashion Players Can Target Tomorrow’s Consumers Euromonitor,UK sportswear future consumers,Generation Alpha: How Fashion Players Can Target Tomorrow’s Consumers - Euromonitor. Generation Alpha: How Fashion Players Can Target Tomorrow’s Consumers Euromonitor,0.392488,0.56570673,0.38703147,0.17867526,"Consumer behaviour and changing consumer preferences     relating to sportswear, activewear, athletic footwear     and sports fashion.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,4
610,Deckers Brands: Who is the sportswear group outperforming the market and how is it growing in the UK? - Retail Week,2024-09-24 07:00:00,Retail Week,https://news.google.com/rss/articles/CBMiygFBVV95cUxNUnhDTnFMSnNqNXpXOTBGRG9CME9fcXJHSXVUMjZIcGpqUnZ0MjVOYk1iS3EyVmtuY09LSzdjdE9WZUJUZHhFNU5aR3RuT3VydEtJVlcyTl9LblI1X3lISkZqcVE3akJvbFI1VW9Tb0JJM3NLLUp6dEVkdTJkT1RJV1dsaTdkTURBZ3lvNEdOTW5lRWFJN2NLMktSMm5ReV9wR21jV0w0alBER1QzZHB4bVNDTnN1bENLTVF0aXlBS3NOY0prcmxaVGNn?oc=5,Deckers Brands: Who is the sportswear group outperforming the market and how is it growing in the UK? Retail Week,UK sportswear market trends,Deckers Brands: Who is the sportswear group outperforming the market and how is it growing in the UK? - Retail Week. Deckers Brands: Who is the sportswear group outperforming the market and how is it growing in the UK? Retail Week,0.5161693,0.60509735,0.4278785,0.17721885,"Changes in sportswear retail, shopping behaviour,     consumer demand and brand engagement.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,1
467,UK Lifestyle Sneakers Market Size & Trends 2025-2035 - Future Market Insights,2025-05-16 07:00:00,Future Market Insights,https://news.google.com/rss/articles/CBMinwFBVV95cUxOSm96WkdPUjBncDFGODQ3SE05UzBKWE9uTUlUZ2xJY3dPaWs2NmR4Nng0YUZfdFdmcEYxU2xJdFFhaGs3QTEtekgwSkFRT1k2Rk1naG15OHVVZDAxbWdsSm96M2hVQ0xyaUVfS093TTZfNGVHelVCUTZhNDlyWG03MS01UFZvYURkS1ZIS2xpT2ozbmRYNjZSOGxra0llQ2s?oc=5,UK Lifestyle Sneakers Market Size & Trends 2025-2035 Future Market Insights,UK sportswear consumer behaviour,UK Lifestyle Sneakers Market Size & Trends 2025-2035 - Future Market Insights. UK Lifestyle Sneakers Market Size & Trends 2025-2035 Future Market Insights,0.46446678,0.54590863,0.3697158,0.17619282,"Changes in sportswear retail, shopping behaviour,     consumer demand and brand engagement.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,0
511,Social media shopping trends among Britons - YouGov,2025-03-17 07:00:00,YouGov,https://news.google.com/rss/articles/CBMiigFBVV95cUxNMjg2cmxqNFd0Zk9Sc1I5NVpFNzBtSEVpNnM4N0VUaC0xM2hQZXJBMzhvbHpCZF9LQkdXZVJLbEVocHl2RV9ZZkplSjZ1VmFBVDVtTVVXMHFjZzU1ai1wWFpicndMSE9OUDdPSDc2bFM1Y0FqYkR0cXhtamRuaThsX0QxalJaSkwtTlE?oc=5,Social media shopping trends among Britons YouGov,UK fitness retail trends,Social media shopping trends among Britons - YouGov. Social media shopping trends among Britons YouGov,0.43151534,0.42560035,0.24964863,0.17595172,"Changes in sportswear retail, shopping behaviour,     consumer demand and brand engagement.","Sports broadcasting, television rights, streaming,     media coverage and sports viewing.",True,2
323,5G in the UK: Nearly half of Britons say the technology improves digital experiences - YouGov,2025-11-05 08:00:00,YouGov,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPdXZObzN1dEtBN3FOd2NicTRlM1dkNGktbmdibkxpRU5pRy1yQ3hXNkJXeFZLeHRSNTVuTmxCWmhqLUhvWWRlZGxvbHRmaDdhVnliN3FLRlJPNW04aTJCTmRKSnhnY3RfNDFTdDZMcTN5QmdzZmlXZWVpeEF1SDRSZGlLcTdrOWVpUVIxLU5TaExVX2JQTU40ZjUzX1gzamhSTmc4UjFXV0UzQnk2ZlFiQVlIYURiek84d2ctcEpFb1Q?oc=5,5G in the UK: Nearly half of Britons say the technology improves digital experiences YouGov,UK sportswear digital experience,5G in the UK: Nearly half of Britons say the technology improves digital experiences - YouGov. 5G in the UK: Nearly half of Britons say the technology improves digital experiences YouGov,0.37067264,0.4113582,0.23742475,0.17393346,"Digital technology affecting sportswear retail,     ecommerce, shopping, personalisation and consumer     experiences.","Sports broadcasting, television rights, streaming,     media coverage and sports viewing.",True,-1
381,Premium Outdoor Apparel Market | Global Market Analysis Report - 2035 - Future Market Insights,2025-09-12 07:00:00,Future Market Insights,https://news.google.com/rss/articles/CBMigAFBVV95cUxObUV0WVhiczNOR3VGZlA3aGdZTmk5SEE0MHFsNEFndldIMjhxaTJCRzdvNVlKQ3BkUWJ4RXU2cWRlbXhtX3RIS1VsVHRsYno3ZmM1UEZMVTF5bjgtOVZXUVBsSXhRSFJKamVWMkI5QVJPZEdvTktNNng0a25Pa3I4Rg?oc=5,Premium Outdoor Apparel Market | Global Market Analysis Report - 2035 Future Market Insights,UK sportswear market trends,Premium Outdoor Apparel Market | Global Market Analysis Report - 2035 - Future Market Insights. Premium Outdoor Apparel Market | Global Market Analysis Report - 2035 Future Market Insights,0.407865,0.5287717,0.3560343,0.17273739,"Sustainability, materials, circularity and product     innovation within sportswear, activewear and footwear.","Generic sports technology focused on athlete     performance rather than clothing, footwear,     retail or consumer behaviour.",True,0
