article_id,date,source,title_clean,text_clean,analysis_text,url,search_query,sportswear_match,consumer_match,technology_match
11,2024-11-29 08:00:00,Trend Hunter,Holiday Activewear Pop-Ups: Gymshark Pop-Up Brings Fitness Energy to SoHo - Trend Hunter,Holiday Activewear Pop-Ups: Gymshark Pop-Up Brings Fitness Energy to SoHo Trend Hunter,Holiday Activewear Pop-Ups: Gymshark Pop-Up Brings Fitness Energy to SoHo - Trend Hunter. Holiday Activewear Pop-Ups: Gymshark Pop-Up Brings Fitness Energy to SoHo Trend Hunter,https://news.google.com/rss/articles/CBMiXkFVX3lxTFBRMFR0QWZJZG56WWlWejVtTS1IWWtEUlVOWFdxRzJrM2IzUUNLUkViQm1oRWhKazh3QmtZUUdrNGVOU2NfcVdqYjJmVEJwTWI5NWFoQWlQTjdaMEpmZ2c?oc=5,UK activewear consumer trends,True,True,False
12,2025-01-23 08:00:00,About Nike,"Nike 24.7 Apparel Collection Delivers a New Standard of Comfort and Athletic Style — NIKE, Inc. - About Nike","Nike 24.7 Apparel Collection Delivers a New Standard of Comfort and Athletic Style — NIKE, Inc. About Nike","Nike 24.7 Apparel Collection Delivers a New Standard of Comfort and Athletic Style — NIKE, Inc. - About Nike. Nike 24.7 Apparel Collection Delivers a New Standard of Comfort and Athletic Style — NIKE, Inc. About Nike",https://news.google.com/rss/articles/CBMigwFBVV95cUxQd21pVFJSQmMyWHRYMnZaVVB0a29xSWxOcW5JaHZFenZFbkhZNWl1TEZJcmRETV9pVENGbzBNcmU4MlZTQ2xSbXBwbXNYVk5YY01BcXRJR1d5TTg5c2R6RUw4WDJIUW1MOXBod3QzclNGNGpmWkJvOTI4SU9SVFY3bVFzVQ?oc=5,UK athletic apparel innovation,True,False,True
13,2025-01-30 08:00:00,Fortune,How Decathlon quietly became the crown jewel of sports retail - Fortune,How Decathlon quietly became the crown jewel of sports retail Fortune,How Decathlon quietly became the crown jewel of sports retail - Fortune. How Decathlon quietly became the crown jewel of sports retail Fortune,https://news.google.com/rss/articles/CBMihgFBVV95cUxOTjI1S1FTQmtqZS1QT1lFbjQ1bXVvTDE1VVJueTZjclBiYXZFTC1KY2RqRXMyNVFDbXo2ZFptWTA4LWhOR0lBZFNfekhrbzE3RWhSeDNoOUdUZXk2d1pPbFU5Z2szTjJZbkZqS2dZZm1xcnItMkFjNkZhTDdoc3dwNWpCcHNYdw?oc=5,UK sportswear digital retail,True,True,False
14,2025-02-05 08:00:00,Retail Technology Innovation Hub,Performance sportswear brand Castore teams with GXO to support its logistics operations globally - Retail Technology Innovation Hub,Performance sportswear brand Castore teams with GXO to support its logistics operations globally Retail Technology Innovation Hub,Performance sportswear brand Castore teams with GXO to support its logistics operations globally - Retail Technology Innovation Hub. Performance sportswear brand Castore teams with GXO to support its logistics operations globally Retail Technology Innovation Hub,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPcV9rVmpfUFoyMnByQ3laZW9Jd2V2Q2VHS1lzeEVrLURFT0RZM3pUSlhfQnphY1NFSjJ4Vk12MlJFS1pucTRTSnliTmZJSEJCUndVSmdwNXRHREtYU2RraUV2OHRPQndqdEhERkJMd0Y3SERqUC15R1dTVDBvQWN3cmo2aDFzZUprWHdheTVLM3cwT2otcVlMNDdYcG5wN2hLekdJSmVxU3U2cHFrVnBHcUFTQUxPRndidHFEeW8zRUJCek9Ga29abS1mcEdkUWROX2E1Q3pJa1pFUXA4Wk5v?oc=5,UK sportswear innovation,True,True,True
15,2025-02-07 08:00:00,Yahoo Finance,"Sports Apparel Market to Grow by USD 106.5 Billion (2025-2029), Boosted by Innovative Apparel and Product Premiumization, AI Redefining Market Landscape - Technavio - Yahoo Finance","Sports Apparel Market to Grow by USD 106.5 Billion (2025-2029), Boosted by Innovative Apparel and Product Premiumization, AI Redefining Market Landscape - Technavio Yahoo Finance","Sports Apparel Market to Grow by USD 106.5 Billion (2025-2029), Boosted by Innovative Apparel and Product Premiumization, AI Redefining Market Landscape - Technavio - Yahoo Finance. Sports Apparel Market to Grow by USD 106.5 Billion (2025-2029), Boosted by Innovative Apparel and Product Premiumization, AI Redefining Market Landscape - Technavio Yahoo Finance",https://news.google.com/rss/articles/CBMiggFBVV95cUxPSVJiZlZkV3JVRkQyMXhETURQT2x3MHQ1NHVGU3UwbEwyejVZcncwNXdpRGZmZmU2bE56SENLcDNKaUFKdEljbUJVaWVRdTRlS3d2WlI2MEM0VWgtQmI1MXFIdUh6ZVR4UHJVOGFEOGlKWHhuNFUxSnNjNkozYWI4VGR3?oc=5,UK athletic apparel innovation,True,False,True
16,2025-03-04 08:00:00,fashionunited.uk,Sportswear brands face new crossroads as growth slows and consumer habits change - fashionunited.uk,Sportswear brands face new crossroads as growth slows and consumer habits change fashionunited.uk,Sportswear brands face new crossroads as growth slows and consumer habits change - fashionunited.uk. Sportswear brands face new crossroads as growth slows and consumer habits change fashionunited.uk,https://news.google.com/rss/articles/CBMizgFBVV95cUxPVkVaUG5kdlo0ZW5adWJxb01ZMnhfUWFSUW9XYzI4ejJKcGE2Z3J2ZlkwNlYxWUZ2Ql9TTU1wT3ZBSVoxQXNPSk9FeXU5Q3VMd0hZcmE3NVU5WlUxb09BaDhSektYRlBXdjRWSDczZ2R3SEJzc3pKLUdTa0IxV2doNzlXRDNia05JX0xIWkhlOUtKajJteWJ1T2VKdEt0djJLZUtDZ1ZBbnhMbXV6M1JGMEJWOTd3emZCSjFPRE4xVnVldEhldUNycWJuVno5QQ?oc=5,UK sportswear changing consumer habits,True,True,False
17,2025-03-11 07:00:00,Grand View Research,"UK Sports Apparel Market Size & Outlook, 2022-2030 - Grand View Research","UK Sports Apparel Market Size & Outlook, 2022-2030 Grand View Research","UK Sports Apparel Market Size & Outlook, 2022-2030 - Grand View Research. UK Sports Apparel Market Size & Outlook, 2022-2030 Grand View Research",https://news.google.com/rss/articles/CBMif0FVX3lxTE1FNkJIWERZVFdJWE5nb1FTU21TVUhPQkxUTkVoZlRMbEY1TjVwdmxDSnJ1QmhFV29NSld6RzVUWUhjQkdPSmk3TFlKMmI1UFhYdHpKVVdlTHdpUS0wcmdWSG5wQ095V3ZRMkc1X3pkSVNyYWVBcFJNTnQ2am5BVG8?oc=5,UK sportswear market trends,True,False,True
18,2025-03-19 07:00:00,Fashion Dive,Sports apparel market projected to reach $173B this year: report - Fashion Dive,Sports apparel market projected to reach $173B this year: report Fashion Dive,Sports apparel market projected to reach $173B this year: report - Fashion Dive. Sports apparel market projected to reach $173B this year: report Fashion Dive,https://news.google.com/rss/articles/CBMiggFBVV95cUxNTkNBSlVMRkFSNG03Y3I4SzJtWEdER2ZQaTBOQjNmdDZaczJONkhhUGhxY1JsQXNDSGs1Qko0Qkw5Tk4xcXBRUEhpQmxKaV9NLXJTUDZEQzc3YlVJNzAwOE1Ib2MyQl9ULWYyTHVGLVdjNzd5WHJmZV9OZllNZkJLMXlR?oc=5,UK sportswear consumer trends,True,False,True
19,2025-04-24 07:00:00,Apparel Views,Bamboo Clothing Market is expected to grow at a CAGR of 8.5% - Apparel Views,Bamboo Clothing Market is expected to grow at a CAGR of 8.5% Apparel Views,Bamboo Clothing Market is expected to grow at a CAGR of 8.5% - Apparel Views. Bamboo Clothing Market is expected to grow at a CAGR of 8.5% Apparel Views,https://news.google.com/rss/articles/CBMikgFBVV95cUxQT1pmYlBGTzQ4YXV6ZmdtV25pWEhBYmZ2N1hmN0RRX2pYbGlOX3FJNEEzN2dEUFhRUnp3UU9KeXlZcXhqVWtiX2dBRkRULW5UTUNHQnp4UU9TaXJNMEJPa3NqVlNESTRUNVhpaXJ1b2FBR3Z5eU1HSERxSUgtdDlieUpHaUFiaFZWUlVWNUZxNzA4UQ?oc=5,UK activewear consumer trends,True,False,True
20,2025-05-16 07:00:00,Future Market Insights,UK Lifestyle Sneakers Market Size & Trends 2025-2035 - Future Market Insights,UK Lifestyle Sneakers Market Size & Trends 2025-2035 Future Market Insights,UK Lifestyle Sneakers Market Size & Trends 2025-2035 - Future Market Insights. UK Lifestyle Sneakers Market Size & Trends 2025-2035 Future Market Insights,https://news.google.com/rss/articles/CBMinwFBVV95cUxOSm96WkdPUjBncDFGODQ3SE05UzBKWE9uTUlUZ2xJY3dPaWs2NmR4Nng0YUZfdFdmcEYxU2xJdFFhaGs3QTEtekgwSkFRT1k2Rk1naG15OHVVZDAxbWdsSm96M2hVQ0xyaUVfS093TTZfNGVHelVCUTZhNDlyWG03MS01UFZvYURkS1ZIS2xpT2ozbmRYNjZSOGxra0llQ2s?oc=5,UK sportswear consumer behaviour,True,True,False
21,2025-06-03 07:00:00,fashionunited.uk,Women’s sports retail takes center stage on Regent Street with SOOO pop-up - fashionunited.uk,Women’s sports retail takes center stage on Regent Street with SOOO pop-up fashionunited.uk,Women’s sports retail takes center stage on Regent Street with SOOO pop-up - fashionunited.uk. Women’s sports retail takes center stage on Regent Street with SOOO pop-up fashionunited.uk,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNUXg0bWZ5bHNXVEkwVFFuM2tyLXpkZXNva0dvdXBBOGJCOHpfNjhSSEpZNTVRWXRjSTQwOHpXWGRuN1pwMUxhdnhKaTdJZnJEa1VkR0tFcThvOVFfZndLeDhzeUFCd2E3TGtNcHk5R3RQRHRZcGlzYUpXc3pvTE1mX3NVQW9OYlFabkxGQ1ZhZzE1bmdEdTR5VmFZWmROR2c4bS1ObmV3Y2s2WF9UenhKY0kwcVdQUjRqUGhRLVloNWhuQQ?oc=5,UK athletic apparel innovation,True,True,False
22,2025-06-12 07:00:00,About Nike,"Nike FlyWeb Is the Future of Performance Apparel — NIKE, Inc. - About Nike","Nike FlyWeb Is the Future of Performance Apparel — NIKE, Inc. About Nike","Nike FlyWeb Is the Future of Performance Apparel — NIKE, Inc. - About Nike. Nike FlyWeb Is the Future of Performance Apparel — NIKE, Inc. About Nike",https://news.google.com/rss/articles/CBMid0FVX3lxTE9STDdDZ2ROMC1HdzMzVGRQb1ViZ1Z4UWdJTWJzTEZSdTFaYlh1bUJydDJnWjZlTUtFU2ZyRFMyeTlEY09TSWk2Sk9nNVhqMkJRQjRZdlU0Y244cXBMVHZUUTRxZWFPRTVkNzU4bU91anlvU0ZCU2dB?oc=5,UK athletic apparel innovation,True,False,True
23,2025-06-28 07:00:00,Breaking The Lines,How New Sports Trends and Consumer Habits Are Shaping the UK's Athletic Footwear Market - Breaking The Lines,How New Sports Trends and Consumer Habits Are Shaping the UK's Athletic Footwear Market Breaking The Lines,How New Sports Trends and Consumer Habits Are Shaping the UK's Athletic Footwear Market - Breaking The Lines. How New Sports Trends and Consumer Habits Are Shaping the UK's Athletic Footwear Market Breaking The Lines,https://news.google.com/rss/articles/CBMivAFBVV95cUxPSXlDWW45NFpZc19DVEVhTFpnVGtBdjY3Z2owM3VwTkM1cnliWDBhT0NXaDRncHBvSGUya0MyNXU4Um41ZVpXT05xZWR1SDVsZkJ0RUFyVzlSZXNIdlFWd05iRmVYT1lRTElGWm5ua1RrSERjdTJ5Mk9Cck8zQmdmM1dZdmlYakxUSEZ3YXpHZWhta3RsUTdsR2NXdDlLYVZGaF9mNk54X2Zxb05MWXdpR3k4U04tVXFHT2hJVw?oc=5,UK sportswear consumer trends,True,True,False
24,2025-07-01 07:00:00,FashionUnited,Decathlon partners with Rheon Labs on next-gen sports apparel - FashionUnited,Decathlon partners with Rheon Labs on next-gen sports apparel FashionUnited,Decathlon partners with Rheon Labs on next-gen sports apparel - FashionUnited. Decathlon partners with Rheon Labs on next-gen sports apparel FashionUnited,https://news.google.com/rss/articles/CBMiswFBVV95cUxORE52M1dpNFh4bllrTGZBWU5ldUNSdmpMUzkyT2h6XzN0ZnoyMl84Mzd4Y1N4R041QmVyT0tTMDVVU2ZnNmp3VW1DWnBUUFVPMmxBTWdwOThMWF9NekduN1RkeEllVkpaMzZQQnBfcTViM01iaHpYSER3YzBYT01DRXZiWGhxclcySFo5dDNoemt2OTdBZU9wT2FBRExNZ0ZCQUZQUDBYeGNBZE1KUGtzZUhpOA?oc=5,UK athletic apparel innovation,True,False,True
25,2025-07-10 07:00:00,Grand View Research,"UK Gym Apparel Market Size & Outlook, 2025-2030 - Grand View Research","UK Gym Apparel Market Size & Outlook, 2025-2030 Grand View Research","UK Gym Apparel Market Size & Outlook, 2025-2030 - Grand View Research. UK Gym Apparel Market Size & Outlook, 2025-2030 Grand View Research",https://news.google.com/rss/articles/CBMie0FVX3lxTE03UjQwTjdBU3RPVV9TTEdOT3ZGZ2JWQlJaLTBqLWxUajlzZGNrazdna0JYQnpsWjJTbm9VdnRUbkdfSGM2UGtoZmZjN09KTF9fcHdjYTFVeXBGeTAybnNQalgtSHV0UUtmMTBFWGFwM1dzMy1pblIyY2lGZw?oc=5,UK sportswear market trends,True,False,True
26,2025-08-12 07:00:00,Retail Times,"PULCO becomes first padel apparel brand to launch at Harrods, marking a milestone moment for the sport in the UK - Retail Times","PULCO becomes first padel apparel brand to launch at Harrods, marking a milestone moment for the sport in the UK Retail Times","PULCO becomes first padel apparel brand to launch at Harrods, marking a milestone moment for the sport in the UK - Retail Times. PULCO becomes first padel apparel brand to launch at Harrods, marking a milestone moment for the sport in the UK Retail Times",https://news.google.com/rss/articles/CBMi1AFBVV95cUxPZW5GcWt4VmFJbUZBUFlNX1pxMy1tRmluNDZZTVlweFM3ZzYySDFpZmhTRzZFTV8zNWtJb0FCVVU0UzBEYVhiR2ZHQ3FuSTZPbHdhZ18wb2o5RTJyMjZBVGRCNzgtdC1sY0VNbk5PSzdOZVJldFBuM2lvR3Z0RFlubzJvWWY0eHRYQnByaXhmbWJnY1FXMnE3SDdrd2JNNG4za09CRXQ4aGN0WElWSW5iVWhNeXM3OVF3X2FPc1BfN3dnaTNOVEpmejg0UDZRTndKYWRvNQ?oc=5,UK athletic apparel innovation,True,True,True
27,2025-09-05 07:00:00,News By Wire,From £300 Bedroom Startup to Global Phenomenon: Pursue Fitness Celebrates 12 Years of Disrupting the Activewear Industry - News By Wire,From £300 Bedroom Startup to Global Phenomenon: Pursue Fitness Celebrates 12 Years of Disrupting the Activewear Industry News By Wire,From £300 Bedroom Startup to Global Phenomenon: Pursue Fitness Celebrates 12 Years of Disrupting the Activewear Industry - News By Wire. From £300 Bedroom Startup to Global Phenomenon: Pursue Fitness Celebrates 12 Years of Disrupting the Activewear Industry News By Wire,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOdVpQWk1rNU1laExkTklqZEc0MFF6aHdtODFXMDVjc1ROb0ZvdmdremJ4RXEzVE5kLTUxMTJYNGNmUFR1QTFWcFhNUU9XUktIakhMdDZBUzFMcGJUSm9ZekJmWlNNU2ZKZm9IWjZibGFoMXo0M2JHOHY0M2x6bVhzWmhZTmFuRVVhZy1GV0tFYVRKdWZjeFpYT1pvRlVqS2pYZFp3MndDMHctTkszWVZFMzNTdHh5RGRQa0V2eWROTTQxMDNGcDVVdG5zeFpiOFJTR2l6TnI1ZHBQdw?oc=5,UK activewear innovation,True,True,False
28,2025-09-12 07:00:00,Future Market Insights,Premium Outdoor Apparel Market | Global Market Analysis Report - 2035 - Future Market Insights,Premium Outdoor Apparel Market | Global Market Analysis Report - 2035 Future Market Insights,Premium Outdoor Apparel Market | Global Market Analysis Report - 2035 - Future Market Insights. Premium Outdoor Apparel Market | Global Market Analysis Report - 2035 Future Market Insights,https://news.google.com/rss/articles/CBMigAFBVV95cUxObUV0WVhiczNOR3VGZlA3aGdZTmk5SEE0MHFsNEFndldIMjhxaTJCRzdvNVlKQ3BkUWJ4RXU2cWRlbXhtX3RIS1VsVHRsYno3ZmM1UEZMVTF5bjgtOVZXUVBsSXhRSFJKamVWMkI5QVJPZEdvTktNNng0a25Pa3I4Rg?oc=5,UK sportswear market trends,True,False,True
29,2025-10-16 05:44:01,Fibre2Fashion,"Top Athleisure Trends & Best Sustainable Activewear Brands In US: Comfort, Technology & Style in Motion - Fibre2Fashion","Top Athleisure Trends & Best Sustainable Activewear Brands In US: Comfort, Technology & Style in Motion Fibre2Fashion","Top Athleisure Trends & Best Sustainable Activewear Brands In US: Comfort, Technology & Style in Motion - Fibre2Fashion. Top Athleisure Trends & Best Sustainable Activewear Brands In US: Comfort, Technology & Style in Motion Fibre2Fashion",https://news.google.com/rss/articles/CBMi5AFBVV95cUxOYjFMU0RGSW9ZLU9kLU9FYmY0RkZVTGhuMDhWVDFoMlhMbDJNYTQya21zUkJhU3hIZXpBZHZ6SElnNjgzNlducUJibG01ck5UYzFFNkFsOXVrUVkwWkdZb0hZano5WXFnTmRldEhpVW5XaFZmcnpXcUxOVHpwSlcxMzI0UW5OUVJ2aHdCR1F6QlNEdFNuc3FDTVhnSVpMOEtjLTMwZFN1QS1XVk5nSHNhQ2JfZFFCS2tMUTd6YWk0WUhReHdRanNVMGlFZkRSNFc1czhsbXRrVzJlby1UNnQ3T0JfdEk?oc=5,UK activewear innovation,True,False,True
30,2025-10-23 07:00:00,About Nike,Nike Unveils Aero-FIT Performance Apparel Innovation: Cooling Technology for a Hotter World - About Nike,Nike Unveils Aero-FIT Performance Apparel Innovation: Cooling Technology for a Hotter World About Nike,Nike Unveils Aero-FIT Performance Apparel Innovation: Cooling Technology for a Hotter World - About Nike. Nike Unveils Aero-FIT Performance Apparel Innovation: Cooling Technology for a Hotter World About Nike,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQWlh2VTh1QWlpLW5KTEc5cW5FT0pnMkRsd0dsVHlONVppeERmZHZubTRWRjNzczNxQ3JySHJ2Umpoczh6bUgzbjdLbU1teFRNazI4ZWVEbDRNaklKMHYtWHU5VHJoaUdJX1VEVUk4VkdlMEo2ejhKRWlRV0dMOWczZW9yNmxwVzM4cnZIQWs2RW5NRjktOHNKb0VyRkRxajk2dWw0QjA2TGs3Unk5TE4xUmtMeGV6V2hjX01MdVJRRTBxSmRxanprNFphbEs1d3NUeGQ4?oc=5,UK athletic apparel innovation,True,False,True
31,2025-10-30 07:00:00,Sporting Goods Intelligence Europe,SGI Analysis: The 20 biggest sports retailers in Europe - Sporting Goods Intelligence Europe,SGI Analysis: The 20 biggest sports retailers in Europe Sporting Goods Intelligence Europe,SGI Analysis: The 20 biggest sports retailers in Europe - Sporting Goods Intelligence Europe. SGI Analysis: The 20 biggest sports retailers in Europe Sporting Goods Intelligence Europe,https://news.google.com/rss/articles/CBMivAFBVV95cUxNckQxTWVkMHRTdVc2TU5YeEZyTklET0xnaGFiSzdaOUFSOHdsSWs2VmZGdWw4eVFKa3E1aDRwNGU4dEZNenRDNUpGLUdiLW1wQVI4WkItX1cyMURwT2dSNGdlSU1DMy10dUZaOHRWVjdBbi1nT3lzdXNGdmtqQzB2YjE5UW1JSUs2cTNJa1BjM3ZkeGVaT0t0bC1jVnp1aGVENjdPTjNyS1I3Y1VoMEJCRkFRVGM5bWd3OF9FbA?oc=5,UK sportswear digital retail,True,True,False
